body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
Hatchback,Maruti,Maruti Celerio,2015,4.0,120000,Petrol,Manual,67.0,90.0,23.1,998,3,Third Party insurance,5,Bangalore
SUV,Ford,Ford Ecosport,2018,8.11,32706,Petrol,Manual,121.0,150.0,17.0,1497,2,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2018,5.85,11949,Petrol,Manual,84.0,114.0,23.84,1199,1,Comprehensive,5,Bangalore
Sedan,Hyundai,Hyundai Xcent,2014,4.62,17794,Petrol,Manual,81.0,113.0,19.1,1197,1,Comprehensive,5,Bangalore
SUV,Maruti,Maruti SX4 S Cross,2015,7.9,60000,Diesel,Manual,88.0,200.0,23.65,1248,1,Third Party insurance,5,Bangalore
SUV,Jeep,Jeep Compass,2020,19.0,20000,Diesel,Manual,170.0,350.0,17.1,1956,1,Third Party insurance,5,Bangalore
Hatchback,Datsun,Datsun GO,2017,3.45,37772,Petrol,Manual,67.0,104.0,20.63,1198,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Venue,2021,12.0,30000,Petrol,Automatic,118.0,171.0,18.15,998,1,Third Party insurance,5,Bangalore
Sedan,Maruti,Maruti Ciaz,2018,9.6,37000,Petrol,Automatic,103.0,138.0,20.28,1462,1,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2017,5.85,11949,Petrol,Manual,84.0,114.0,23.84,1199,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2018,6.9,50000,Petrol,Manual,83.0,115.0,21.4,1197,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2019,6.82,24887,Petrol,Automatic,81.0,113.0,18.9,1197,1,Third Party insurance,5,Bangalore
Hatchback,Honda,Honda Jazz,2018,8.25,23000,Petrol,Automatic,88.0,110.0,18.2,1199,1,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2018,5.95,48928,Petrol,Automatic,83.0,114.0,23.84,1199,1,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2014,6.9,108862,Diesel,Manual,140.0,330.0,15.1,2179,3,Comprehensive,7,Bangalore
SUV,Jeep,Jeep Compass,2018,13.5,80000,Diesel,Manual,170.0,350.0,17.1,1956,1,Third Party insurance,5,Bangalore
SUV,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,16000,Diesel,Automatic,187.0,400.0,19.24556842105263,1950,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2014,5.21,65376,Diesel,Manual,88.0,219.0,21.27,1396,2,Comprehensive,5,Bangalore
SUV,Tata,Tata Nexon,2022,10.05,10000,Petrol,Manual,118.0,170.0,17.33,1199,1,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2016,7.75,67000,Petrol,Manual,117.0,145.0,17.8,1497,2,Comprehensive,5,Bangalore
Sedan,BMW,BMW 5 Series,2011,22.0,100000,Diesel,Automatic,177.0,35.0,18.48,1995,3,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2016,5.82,18083,Petrol,Manual,88.0,113.0,22.38,1197,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Duster,2020,10.9,30000,Petrol,Manual,104.0,142.0,16.42,1498,1,Third Party insurance,5,Bangalore
Hatchback,Tata,Tata Tiago,2016,4.57,57634,Petrol,Manual,84.0,114.0,23.84,1199,2,Comprehensive,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,50000,Petrol,Automatic,453.0,700.0,7.81,4663,2,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2015,5.5,110000,Petrol,Manual,117.0,145.0,17.4,1497,1,Third Party insurance,5,Bangalore
